Episode,path
115,"[array([0, 0, 9]), array([ 0, -1,  9])]"
116,"[array([0, 1, 6]), array([1, 1, 6]), array([0, 1, 6]), array([-1,  0,  9])]"
117,"[array([0, 1, 6]), array([-1,  1,  6])]"
118,"[array([0, 2, 7]), array([0, 3, 7]), array([0, 4, 7]), array([0, 5, 7])]"
119,"[array([2, 2, 9]), array([1, 3, 8]), array([2, 4, 7]), array([3, 3, 6]), array([2, 2, 9]), array([2, 1, 9]), array([2, 0, 9]), array([1, 1, 8]), array([0, 0, 7]), array([-1,  1,  6])]"
120,"[array([2, 0, 7]), array([2, 1, 7]), array([1, 2, 6]), array([2, 2, 6]), array([3, 1, 7]), array([4, 0, 6]), array([3, 1, 7]), array([4, 0, 6]), array([ 3, -1,  9])]"
121,"[array([0, 0, 9]), array([-1,  1,  8])]"
122,"[array([2, 0, 7]), array([ 3, -1,  6])]"
123,"[array([0, 1, 6]), array([1, 2, 9]), array([0, 1, 6]), array([-1,  0,  9])]"
124,"[array([0, 0, 9]), array([-1,  1,  8])]"
125,"[array([2, 2, 9]), array([1, 1, 6]), array([2, 2, 9]), array([1, 1, 6]), array([2, 2, 9]), array([1, 3, 8]), array([2, 4, 7]), array([3, 3, 6]), array([4, 4, 9]), array([4, 5, 9])]"
126,"[array([2, 1, 6]), array([3, 2, 9]), array([3, 3, 9]), array([3, 2, 9]), array([2, 3, 8]), array([3, 3, 8]), array([4, 4, 7]), array([5, 3, 6])]"
127,"[array([2, 2, 9]), array([1, 3, 8]), array([2, 2, 9]), array([2, 3, 9]), array([3, 2, 8]), array([4, 2, 8]), array([3, 1, 7]), array([4, 0, 6]), array([ 5, -1,  7])]"
128,"[array([2, 1, 6]), array([3, 0, 7]), array([ 2, -1,  8])]"
129,"[array([2, 0, 7]), array([ 3, -1,  6])]"
130,"[array([2, 2, 9]), array([3, 1, 8]), array([2, 0, 7]), array([ 3, -1,  6])]"
131,"[array([2, 2, 9]), array([1, 3, 8]), array([0, 2, 7]), array([1, 1, 6]), array([2, 2, 9]), array([1, 3, 8]), array([0, 2, 7]), array([1, 1, 6]), array([2, 2, 9]), array([1, 3, 8])]"
132,"[array([2, 2, 9]), array([1, 3, 8]), array([2, 2, 9]), array([3, 1, 8]), array([2, 0, 7]), array([3, 1, 8]), array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8])]"
